GeneFamily,Sample,Value,Condition
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Experiment_256,28.4959198954,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Experiment_257,33.9654788287,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Experiment_259,37.6601944251,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Wild_260,28.0461271781,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Wild_261,8.9413722478,No-Monarch
UniRef90_A0A358PPL1|unclassified,GeneFamily,UniRef90_A0A358PPL1|unclassified,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Experiment_256,28.4959198954,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Experiment_257,33.9654788287,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Experiment_259,37.6601944251,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Wild_260,28.0461271781,No-Monarch
UniRef90_A0A358PPL1|unclassified,NoMonarch_Wild_261,8.9413722478,No-Monarch
UniRef90_A0A358PPM7|unclassified,GeneFamily,UniRef90_A0A358PPM7|unclassified,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Experiment_256,28.8450074567,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Experiment_257,31.9797542348,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Experiment_258,15.2069262397,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Experiment_259,18.3078978876,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Wild_260,31.9272847623,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A358PPM7|unclassified,GeneFamily,UniRef90_A0A358PPM7|unclassified,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Experiment_256,28.8450074567,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Experiment_257,31.9797542348,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Experiment_258,15.2069262397,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Experiment_259,18.3078978876,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Wild_260,31.9272847623,No-Monarch
UniRef90_A0A358PPM7|unclassified,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A358PQ04|unclassified,GeneFamily,UniRef90_A0A358PQ04|unclassified,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Experiment_256,40.6845423056,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Experiment_259,33.2007781018,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Wild_260,31.944816074000002,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Wild_261,11.4185483067,No-Monarch
UniRef90_A0A358PQ04|unclassified,GeneFamily,UniRef90_A0A358PQ04|unclassified,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Experiment_256,40.6845423056,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Experiment_259,33.2007781018,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Wild_260,31.944816074000002,No-Monarch
UniRef90_A0A358PQ04|unclassified,NoMonarch_Wild_261,11.4185483067,No-Monarch
UniRef90_A0A358PRX3|unclassified,GeneFamily,UniRef90_A0A358PRX3|unclassified,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Experiment_256,45.4193392213,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Experiment_257,54.2674124925,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Experiment_259,26.4972184756,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Wild_260,15.4642848338,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A358PRX3|unclassified,GeneFamily,UniRef90_A0A358PRX3|unclassified,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Experiment_256,45.4193392213,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Experiment_257,54.2674124925,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Experiment_259,26.4972184756,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Wild_260,15.4642848338,No-Monarch
UniRef90_A0A358PRX3|unclassified,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A358PSM0|unclassified,GeneFamily,UniRef90_A0A358PSM0|unclassified,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Experiment_256,27.922839384699998,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Experiment_257,24.6563487363,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Experiment_259,19.6110676225,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Wild_260,19.867149113299998,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Wild_261,11.396786150699999,No-Monarch
UniRef90_A0A358PSM0|unclassified,GeneFamily,UniRef90_A0A358PSM0|unclassified,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Experiment_256,27.922839384699998,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Experiment_257,24.6563487363,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Experiment_259,19.6110676225,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Wild_260,19.867149113299998,No-Monarch
UniRef90_A0A358PSM0|unclassified,NoMonarch_Wild_261,11.396786150699999,No-Monarch
UniRef90_A0A358PSY5|unclassified,GeneFamily,UniRef90_A0A358PSY5|unclassified,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Experiment_256,46.1627517675,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Experiment_257,14.357565519100001,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Experiment_259,7.142884137899999,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Wild_260,21.2911808228,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Wild_261,16.6723491306,No-Monarch
UniRef90_A0A358PSY5|unclassified,GeneFamily,UniRef90_A0A358PSY5|unclassified,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Experiment_256,46.1627517675,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Experiment_257,14.357565519100001,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Experiment_259,7.142884137899999,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Wild_260,21.2911808228,No-Monarch
UniRef90_A0A358PSY5|unclassified,NoMonarch_Wild_261,16.6723491306,No-Monarch
UniRef90_A0A358PSZ3|unclassified,GeneFamily,UniRef90_A0A358PSZ3|unclassified,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Experiment_256,21.7935301055,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Experiment_257,19.7271141242,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Experiment_258,13.198678194200001,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Experiment_259,31.4869184386,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Wild_261,24.479147032399997,No-Monarch
UniRef90_A0A358PSZ3|unclassified,GeneFamily,UniRef90_A0A358PSZ3|unclassified,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Experiment_256,21.7935301055,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Experiment_257,19.7271141242,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Experiment_258,13.198678194200001,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Experiment_259,31.4869184386,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A358PSZ3|unclassified,NoMonarch_Wild_261,24.479147032399997,No-Monarch
UniRef90_A0A358PT44|unclassified,GeneFamily,UniRef90_A0A358PT44|unclassified,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Experiment_256,17.2430528829,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Experiment_257,30.593139364299997,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Experiment_258,4.8491491805,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Experiment_259,11.330538761400001,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Wild_260,12.9384128194,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Wild_261,15.730210081,No-Monarch
UniRef90_A0A358PT44|unclassified,GeneFamily,UniRef90_A0A358PT44|unclassified,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PT44|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Experiment_256,17.2430528829,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Experiment_257,30.593139364299997,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Experiment_258,4.8491491805,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Experiment_259,11.330538761400001,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Wild_260,12.9384128194,No-Monarch
UniRef90_A0A358PT44|unclassified,NoMonarch_Wild_261,15.730210081,No-Monarch
UniRef90_A0A358PTD6|unclassified,GeneFamily,UniRef90_A0A358PTD6|unclassified,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Experiment_256,22.125752420900003,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Experiment_258,17.5963656369,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Experiment_259,20.6650646547,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Wild_260,31.500124386,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Wild_261,7.4803269261,No-Monarch
UniRef90_A0A358PTD6|unclassified,GeneFamily,UniRef90_A0A358PTD6|unclassified,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Experiment_256,22.125752420900003,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Experiment_258,17.5963656369,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Experiment_259,20.6650646547,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Wild_260,31.500124386,No-Monarch
UniRef90_A0A358PTD6|unclassified,NoMonarch_Wild_261,7.4803269261,No-Monarch
UniRef90_A0A358PTT1|unclassified,GeneFamily,UniRef90_A0A358PTT1|unclassified,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Experiment_256,28.7314041326,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Experiment_257,28.844462790599998,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Experiment_258,9.2781892567,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Experiment_259,27.7987525053,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Wild_260,22.7100911853,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Wild_261,21.1767414085,No-Monarch
UniRef90_A0A358PTT1|unclassified,GeneFamily,UniRef90_A0A358PTT1|unclassified,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Experiment_256,28.7314041326,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Experiment_257,28.844462790599998,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Experiment_258,9.2781892567,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Experiment_259,27.7987525053,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Wild_260,22.7100911853,No-Monarch
UniRef90_A0A358PTT1|unclassified,NoMonarch_Wild_261,21.1767414085,No-Monarch
UniRef90_A0A358PTV0|unclassified,GeneFamily,UniRef90_A0A358PTV0|unclassified,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,NoMonarch_Experiment_256,23.6169415962,No-Monarch
UniRef90_A0A358PTV0|unclassified,NoMonarch_Experiment_257,27.191826876100002,No-Monarch
UniRef90_A0A358PTV0|unclassified,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A358PTV0|unclassified,NoMonarch_Experiment_259,28.2943111286,No-Monarch
UniRef90_A0A358PTV0|unclassified,NoMonarch_Wild_260,30.360526780300003,No-Monarch
UniRef90_A0A358PTV0|unclassified,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A358PTV0|unclassified,GeneFamily,UniRef90_A0A358PTV0|unclassified,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A358PTV0|unclassified,Monarch_Wild_251,0.0,Monarch
