GeneFamily,Sample,Value
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,18.0298058399
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,23.4181949798
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,77.8767546915
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,62.8273592409
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,39.2598074794
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,48.6044054045
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,24.9413304784
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,32.9663712392
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,59.870320044399996
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,GeneFamily,UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,16.2646243224
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,23.5888272812
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,20.5256239002
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,14.266357296199999
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,13.0755702995
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,10.1710071388
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,5.6032077832
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,8.1555282506
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,20.028783718
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,9.1527363407
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,17.6473692603
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,24.216748903800003
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,46.319771281499996
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,26.8402392006
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,60.020829623800005
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,62.233622794
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,56.90568183600001
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,29.8880650081
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,27.7370154808
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,27.4600593023
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,76.0686672201
