id,NoMonarch_Wild_261,NoMonarch_Wild_260,NoMonarch_Experiment_259,NoMonarch_Experiment_258,NoMonarch_Experiment_257,NoMonarch_Experiment_256,Monarch_Experiment_255,Monarch_Experiment_254,Monarch_Wild_253,Monarch_Wild_252,Monarch_Wild_251,Monarch_Wild_250,Monarch_Wild_249,Monarch_Wild_248
Bacteria.Firmicutes.Bacilli,1.2465700000000002,93.88006,99.17851,29.31008,42.09348,90.07288,74.21231999999999,87.72289,70.65543000000001,58.85451,46.59559,90.30884,30.0448,75.81943000000001
Bacteria.Firmicutes.Bacilli.Lactobacillales,1.2465700000000002,93.88006,99.17851,29.31008,42.09348,90.07288,74.21231999999999,87.72289,70.65543000000001,58.85451,46.59559,90.30884,30.0448,75.81943000000001
Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae,0.06642,0,0,0,0,0.11299000000000001,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Carnobacterium,0.06642,0,0,0,0,0.11299000000000001,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Carnobacterium.divergens,0.06642,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Carnobacterium.maltaromaticum,0,0,0,0,0,0.11299000000000001,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae,0,0.33252,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus,0,0.33252,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.durans,0,0.33252,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae,1.18014,93.3889,99.17851,29.31008,42.09348,89.95988,74.21231999999999,87.72289,70.65543000000001,58.85451,46.59559,90.30884,30.0448,75.81943000000001
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus,1.18014,93.3889,99.17851,29.31008,42.09348,89.95988,74.21231999999999,87.72289,70.65543000000001,58.85451,46.59559,90.30884,30.0448,75.81943000000001
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.animalis,1.18014,56.26506,33.12138,11.51758,17.94616,40.18745,35.24293,48.21508,34.57249,36.04983,29.7686,58.78625,8.1068,49.56707
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.murinus,0,37.12384,16.95506,7.09462,12.80269,22.94344,26.099520000000002,27.427629999999997,24.06674,11.375580000000001,16.82698,27.74359,5.32049,26.252359999999996
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.reuteri,0,0,49.10208,10.69788,11.34463,26.82899,12.86988,12.08018,12.016210000000001,11.429089999999999,0,3.779,16.61751,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae,0,0.15864,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus,0,0.15864,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.merionis,0,0.15864,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Clostridia,0.68328,0.5799300000000001,0,0.44848000000000005,0.36939,0.03486,0.22799,0.08347,0,0,3.7734400000000003,0.25847,0,2.24896
Bacteria.Firmicutes.Clostridia.Clostridiales,0.68328,0.5799300000000001,0,0.44848000000000005,0.36939,0.03486,0.22799,0.08347,0,0,3.7734400000000003,0.25847,0,2.24896
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae,0.48346999999999996,0.5162899999999999,0,0,0.09967000000000001,0,0,0,0,0,0.38303000000000004,0,0,0
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium,0.48346999999999996,0.5162899999999999,0,0,0.09967000000000001,0,0,0,0,0,0.38303000000000004,0,0,0
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.ASF356,0.48346999999999996,0.5162899999999999,0,0,0.09967000000000001,0,0,0,0,0,0.38303000000000004,0,0,0
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae,0,0.0215,0,0,0.03642,0,0.027410000000000004,0.08347,0,0,0.81253,0,0,0.43308
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_unclassified,0,0.0215,0,0,0.03642,0,0.027410000000000004,0.08347,0,0,0.81253,0,0,0.43308
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_unclassified.1,0,0,0,0,0.03642,0,0.027410000000000004,0.08347,0,0,0.81253,0,0,0.43308
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_unclassified.1,0,0.0215,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae,0.1998,0.04214,0,0.44848000000000005,0.17658,0.03486,0.20057,0,0,0,1.7367099999999998,0.25847,0,1.59669
Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter,0.1998,0.04214,0,0.44848000000000005,0.17658,0.03486,0.20057,0,0,0,1.7367099999999998,0.25847,0,1.59669
Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.3,0.1998,0.04214,0,0.44848000000000005,0.17658,0.03486,0.20057,0,0,0,1.7367099999999998,0.25847,0,1.59669
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae,0,0,0,0,0.056720000000000007,0,0,0,0,0,0.8411700000000001,0,0,0.21919
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus,0,0,0,0,0.056720000000000007,0,0,0,0,0,0.8411700000000001,0,0,0.21919
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus.2012,0,0,0,0,0.056720000000000007,0,0,0,0,0,0.8411700000000001,0,0,0.21919
Bacteria.Firmicutes.Firmicutes_unclassified,0,0.12947,0,0,0.035210000000000005,0,0,0,0,0,2.2583599999999997,0,0.58516,0.40419
Bacteria.Firmicutes.Firmicutes_unclassified.Firmicutes_unclassified,0,0.12947,0,0,0.035210000000000005,0,0,0,0,0,2.2583599999999997,0,0.58516,0.40419
Bacteria.Firmicutes.Firmicutes_unclassified.Firmicutes_unclassified.Firmicutes_unclassified,0,0.12947,0,0,0.035210000000000005,0,0,0,0,0,2.2583599999999997,0,0.58516,0.40419
Bacteria.Firmicutes.Firmicutes_unclassified.Firmicutes_unclassified.Firmicutes_unclassified.Firmicutes_unclassified,0,0.12947,0,0,0.035210000000000005,0,0,0,0,0,2.2583599999999997,0,0.58516,0.40419
Bacteria.Firmicutes.Firmicutes_unclassified.Firmicutes_unclassified.Firmicutes_unclassified.Firmicutes_unclassified.ASF500,0,0.12947,0,0,0.035210000000000005,0,0,0,0,0,2.2583599999999997,0,0.58516,0.40419
Bacteria.Firmicutes.Limnochordia,0,0,0,0,0,0,0,0,0.49537,0,0,0,0,0.72377
Bacteria.Firmicutes.Limnochordia.Limnochordales,0,0,0,0,0,0,0,0,0.49537,0,0,0,0,0.72377
Bacteria.Firmicutes.Limnochordia.Limnochordales.Limnochordaceae,0,0,0,0,0,0,0,0,0.49537,0,0,0,0,0.72377
Bacteria.Firmicutes.Limnochordia.Limnochordales.Limnochordaceae.Limnochorda,0,0,0,0,0,0,0,0,0.49537,0,0,0,0,0.72377
Bacteria.Firmicutes.Limnochordia.Limnochordales.Limnochordaceae.Limnochorda.pilosa,0,0,0,0,0,0,0,0,0.49537,0,0,0,0,0.72377
Bacteria.Planctomycetes,0,0,0,0,0,0,0,0,0,0,0,0,1.89441,0
Bacteria.Planctomycetes.Planctomycetia,0,0,0,0,0,0,0,0,0,0,0,0,1.89441,0
Bacteria.Planctomycetes.Planctomycetia.Planctomycetales,0,0,0,0,0,0,0,0,0,0,0,0,1.89441,0
Bacteria.Planctomycetes.Planctomycetia.Planctomycetales.Gemmataceae,0,0,0,0,0,0,0,0,0,0,0,0,1.89441,0
Bacteria.Planctomycetes.Planctomycetia.Planctomycetales.Gemmataceae.Gemmata,0,0,0,0,0,0,0,0,0,0,0,0,1.89441,0
Bacteria.Planctomycetes.Planctomycetia.Planctomycetales.Gemmataceae.Gemmata.obscuriglobus,0,0,0,0,0,0,0,0,0,0,0,0,1.89441,0
Bacteria.Proteobacteria,93.12314,0.33189,0,69.52213,56.71688,8.11233,23.88705,2.9098599999999997,1.53776,0.29641,2.39045,0.97051,0,0
Bacteria.Proteobacteria.Epsilonproteobacteria,0,0,0,0.17522000000000001,0,0,0,0,0,0.29641,2.39045,0,0,0
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales,0,0,0,0.17522000000000001,0,0,0,0,0,0.29641,2.39045,0,0,0
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Helicobacteraceae,0,0,0,0.17522000000000001,0,0,0,0,0,0.29641,2.39045,0,0,0
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Helicobacteraceae.Helicobacter,0,0,0,0.17522000000000001,0,0,0,0,0,0.29641,2.39045,0,0,0
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Helicobacteraceae.Helicobacter.apodemus,0,0,0,0.14461,0,0,0,0,0,0.29641,2.39045,0,0,0
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Helicobacteraceae.Helicobacter.5569,0,0,0,0.030619999999999998,0,0,0,0,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria,93.12314,0.33189,0,69.34691,56.71688,8.11233,23.88705,2.9098599999999997,1.53776,0,0,0.97051,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales,0,0,0,69.34691,56.71688,0,23.88705,0,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae,0,0,0,69.34691,56.71688,0,23.88705,0,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Serratia,0,0,0,0,0,0,23.88705,0,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Serratia.liquefaciens,0,0,0,0,0,0,23.88705,0,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Yersinia,0,0,0,69.34691,56.71688,0,0,0,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Yersinia.entomophaga,0,0,0,61.932359999999996,50.17311,0,0,0,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Yersinia.nurmii,0,0,0,7.41455,6.543769999999999,0,0,0,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales,93.12314,0.33189,0,0,0,8.11233,0,2.9098599999999997,1.53776,0,0,0.97051,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae,93.12314,0.33189,0,0,0,8.11233,0,2.9098599999999997,1.53776,0,0,0.97051,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas,93.12314,0.33189,0,0,0,8.11233,0,2.9098599999999997,1.53776,0,0,0.97051,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.group,1.9756799999999999,0,0,0,0,0,0,2.9098599999999997,0,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.fragi,0,0,0,0,0,0,0,0,1.53776,0,0,0,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.lundensis,91.14746,0.30638000000000004,0,0,0,8.00809,0,0,0,0,0,0.97051,0,0
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.weihenstephanensis,0,0.025509999999999998,0,0,0,0.10425,0,0,0,0,0,0,0,0
Bacteria.Synergistetes,0.96245,0.80005,0.3685,0.13295,0.17414000000000002,0.10169,0.50685,0.63307,0.7421300000000001,1.84527,7.68271,0.51071,18.86235,5.47353
Bacteria.Synergistetes.Synergistia,0.96245,0.80005,0.3685,0.13295,0.17414000000000002,0.10169,0.50685,0.63307,0.7421300000000001,1.84527,7.68271,0.51071,18.86235,5.47353
Bacteria.Synergistetes.Synergistia.Synergistales,0.96245,0.80005,0.3685,0.13295,0.17414000000000002,0.10169,0.50685,0.63307,0.7421300000000001,1.84527,7.68271,0.51071,18.86235,5.47353
Bacteria.Synergistetes.Synergistia.Synergistales.Synergistaceae,0.96245,0.80005,0.3685,0.13295,0.17414000000000002,0.10169,0.50685,0.63307,0.7421300000000001,1.84527,7.68271,0.51071,18.86235,5.47353
Bacteria.Synergistetes.Synergistia.Synergistales.Synergistaceae.Fretibacterium,0.96245,0.80005,0.3685,0.13295,0.17414000000000002,0.10169,0.50685,0.63307,0.7421300000000001,1.84527,7.68271,0.51071,18.86235,5.47353
Bacteria.Synergistetes.Synergistia.Synergistales.Synergistaceae.Fretibacterium.fastidiosum,0.96245,0.80005,0.3685,0.13295,0.17414000000000002,0.10169,0.50685,0.63307,0.7421300000000001,1.84527,7.68271,0.51071,18.86235,5.47353
Bacteria.Tenericutes,0.46335,0.88885,0,0,0.13973,0.97914,0.8133699999999999,1.06952,0.59548,6.6627600000000005,6.16448,4.30272,13.62135,4.94086
Bacteria.Tenericutes.Mollicutes,0.46335,0.88885,0,0,0.13973,0.97914,0.8133699999999999,1.06952,0.59548,6.6627600000000005,6.16448,4.30272,13.62135,4.94086
Bacteria.Tenericutes.Mollicutes.Mycoplasmatales,0.46335,0.88885,0,0,0.13973,0.97914,0.8133699999999999,1.06952,0.59548,6.6627600000000005,6.16448,4.30272,13.62135,4.94086
Bacteria.Tenericutes.Mollicutes.Mycoplasmatales.Mycoplasmataceae,0.46335,0.88885,0,0,0.13973,0.97914,0.8133699999999999,1.06952,0.59548,6.6627600000000005,6.16448,4.30272,13.62135,4.94086
Bacteria.Tenericutes.Mollicutes.Mycoplasmatales.Mycoplasmataceae.Ureaplasma,0.46335,0.88885,0,0,0.13973,0.97914,0.8133699999999999,1.06952,0.59548,6.6627600000000005,6.16448,4.30272,13.62135,4.94086
Bacteria.Tenericutes.Mollicutes.Mycoplasmatales.Mycoplasmataceae.Ureaplasma.diversum,0.46335,0.88885,0,0,0.13973,0.97914,0.8133699999999999,1.06952,0.59548,6.6627600000000005,6.16448,4.30272,13.62135,4.94086
