GeneFamily,Sample,Value,Condition
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,3.3444816054000004,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,6.656034731,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,17.2760004239,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,3.3333333332999997,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,10.0339708479,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,17.036959511400003,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,51.200884609700005,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,38.8824785527,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,45.0849225813,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,30.016317596300002,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,62.9840208607,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,15.9128988455,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,16.110561653599998,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,43.6619809692,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,60.7898073189,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,21.0576237451,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,25.091834721399998,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,27.858253251,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,21.5956478,Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,13.6357939021,Monarch
