GeneFamily,Sample,Value,Condition
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_252,4.732399361600001,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_252,10.4151027117,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A015TTY7|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A015V6B3|g__Parabacteroides.s__Parabacteroides_goldsteinii,Monarch_Wild_248,0.0,Monarch
